epochs,g_loss,d_loss
0,0.2321,22.646
100,2.3343,0.2068
200,2.7146,0.2419
300,2.1503,0.2643
400,2.1746,0.2555
500,2.2828,0.2118
600,2.3164,0.2569
700,2.1365,0.2596
800,1.9738,0.3009
900,1.6841,0.4578
1000,1.8958,0.3947
1100,1.8621,0.3606
1200,2.3183,0.4106
1300,2.3579,0.3898
1400,2.197,0.3925
1500,1.9597,0.4282
1600,2.0182,0.5379
1700,2.7971,0.7539
1800,1.5683,0.5808
1900,1.5602,0.5502
2000,1.8727,0.4932
2100,2.0172,0.5119
2200,2.0208,0.5885
2300,1.8868,0.5258
2400,1.3509,0.6707
2500,1.8936,0.6954
2600,2.1652,0.7639
2700,1.581,0.5489
2800,1.7498,0.623
2900,1.5631,0.6622
3000,1.7424,0.5487
3100,2.1273,0.6552
3200,1.9362,0.6697
3300,2.5527,0.7871
3400,1.8523,0.7685
3500,1.5103,0.5721
3600,2.1936,0.7232
3700,1.6108,0.5966
3800,1.7687,0.5694
3900,2.2501,0.5139
4000,1.7218,0.6743
4100,1.4768,0.6627
4200,1.7788,0.6226
4300,2.032,0.7356
4400,1.7315,0.723
4500,1.731,0.693
4600,2.4634,0.9505
4700,1.8269,0.6691
4800,1.7045,0.5875
4900,2.0203,0.6235
5000,1.7697,0.7456
5100,2.2381,0.7392
5200,1.6403,0.8456
5300,1.549,0.8034
5400,1.7199,0.7837
5500,1.5247,0.7307
5600,1.9396,0.6371
5700,1.7119,0.7353
5800,1.556,0.6639
5900,1.8917,0.6042
6000,1.7414,0.5921
6100,2.2061,1.0525
6200,1.0984,0.7602
6300,1.6861,0.7879
6400,1.7212,0.8302
6500,1.8873,0.5861
6600,1.9115,0.8568
6700,1.6053,0.5313
6800,1.7694,0.7381
6900,1.8461,0.7136
7000,1.8164,0.7582
7100,1.6854,0.6287
7200,1.9245,1.0562
7300,1.8384,0.7985
7400,2.1503,0.7985
7500,2.2664,0.8082
7600,1.4799,0.8485
7700,1.7708,0.7227
7800,2.1059,0.9176
7900,1.8848,0.5548
8000,2.0604,0.7112
8100,2.2838,0.8462
8200,1.8049,0.8091
8300,2.0569,0.8539
8400,1.7827,0.6386
8500,1.8423,0.7004
8600,2.1346,0.6217
8700,1.8925,0.8281
8800,1.9133,0.9401
8900,2.0629,0.6145
9000,2.1545,0.7206
9100,2.0405,0.8853
9200,1.5886,0.8707
9300,1.7628,0.7366
9400,2.32,0.9334
9500,1.7553,0.8245
9600,1.773,0.7504
9700,1.824,0.8564
9800,1.9195,0.759
9900,1.886,0.551
